2025-09-16 16:11:41,SNX,0.57,0.569,,Coinbase → Kraken,0.18%
2025-09-16 16:11:41,UNI,7.8,7.75,,Coinbase → Kraken,0.65%
2025-09-16 16:11:41,XLM,0.325885,0.326742,,Kraken → Coinbase,0.26%
2025-09-16 16:11:41,XTZ,0.646,0.65,,Kraken → Coinbase,0.62%
2025-09-16 16:11:46,ANKR,0.01277,0.01268,,Coinbase → Kraken,0.71%
2025-09-16 16:11:46,APE,0.4909,0.49,,Coinbase → Kraken,0.18%
2025-09-16 16:11:46,ATOM,3.7754,3.782,,Kraken → Coinbase,0.17%
2025-09-16 16:11:46,AXS,2.047,2.05,,Kraken → Coinbase,0.15%
2025-09-16 16:11:46,BAT,0.13108,0.13151,,Kraken → Coinbase,0.33%
2025-09-16 16:11:46,CHZ,0.03458,0.0349,,Kraken → Coinbase,0.93%
2025-09-16 16:11:46,CRO,0.1912,0.1917,,Kraken → Coinbase,0.26%
2025-09-16 16:11:46,ENS,19.44,19.59,,Kraken → Coinbase,0.77%
2025-09-16 16:11:46,FIL,2.053,2.06,,Kraken → Coinbase,0.34%
2025-09-16 16:11:46,GRT,0.07891,0.0788,,Coinbase → Kraken,0.14%
2025-09-16 16:11:46,MANA,0.28629,0.286,,Coinbase → Kraken,0.10%
2025-09-16 16:11:46,MASK,1.052,1.05,,Coinbase → Kraken,0.19%
2025-09-16 16:11:46,SNX,0.57,0.569,,Coinbase → Kraken,0.18%
2025-09-16 16:11:46,UNI,7.8,7.75,,Coinbase → Kraken,0.65%
2025-09-16 16:11:46,XLM,0.325885,0.326742,,Kraken → Coinbase,0.26%
2025-09-16 16:11:46,XTZ,0.646,0.65,,Kraken → Coinbase,0.62%
2025-09-16 16:11:51,ANKR,0.01277,0.01268,,Coinbase → Kraken,0.71%
2025-09-16 16:11:51,APE,0.4909,0.49,,Coinbase → Kraken,0.18%
2025-09-16 16:11:51,ATOM,3.7754,3.782,,Kraken → Coinbase,0.17%
2025-09-16 16:11:51,AXS,2.047,2.05,,Kraken → Coinbase,0.15%
2025-09-16 16:11:51,BAT,0.13108,0.13151,,Kraken → Coinbase,0.33%
2025-09-16 16:11:51,CHZ,0.03458,0.0349,,Kraken → Coinbase,0.93%
2025-09-16 16:11:51,CRO,0.1912,0.1917,,Kraken → Coinbase,0.26%
2025-09-16 16:11:51,ENS,19.44,19.59,,Kraken → Coinbase,0.77%
2025-09-16 16:11:51,FIL,2.053,2.06,,Kraken → Coinbase,0.34%
2025-09-16 16:11:51,GRT,0.07891,0.0788,,Coinbase → Kraken,0.14%
2025-09-16 16:11:51,MANA,0.28629,0.286,,Coinbase → Kraken,0.10%
2025-09-16 16:11:51,MASK,1.052,1.05,,Coinbase → Kraken,0.19%
2025-09-16 16:11:51,SNX,0.57,0.569,,Coinbase → Kraken,0.18%
2025-09-16 16:11:51,UNI,7.8,7.75,,Coinbase → Kraken,0.65%
2025-09-16 16:11:51,XLM,0.325885,0.326742,,Kraken → Coinbase,0.26%
2025-09-16 16:11:51,XTZ,0.646,0.65,,Kraken → Coinbase,0.62%
2025-09-16 16:11:56,ADA,0.7275,0.726,,Coinbase → Kraken,0.21%
2025-09-16 16:11:56,ANKR,0.01277,0.01268,,Coinbase → Kraken,0.71%
2025-09-16 16:11:56,APE,0.4909,0.49,,Coinbase → Kraken,0.18%
